Filename,Label,Prediction
03401892-59e9-4611-bbbb-7ad2ed503717.png,0,0
06199df3-ec73-4e30-a9b1-28c75f03089d.png,0,0
070385fb-ac5e-45a1-abd0-a1558afee795.png,0,0
07949ad4-3e8d-425e-99c9-86b5300be077.png,0,0
07961a95-7f13-490a-8769-a8cca2f4b462.png,0,0
0828174b-ce52-4ba1-86ec-1b3ed17b5bdf.png,0,0
12029ba2-227b-4284-aff4-e444c52b717a.png,0,0
15312ae6-f71d-4070-84eb-fbe7a7b2b540.png,0,0
15569758-6e34-44e8-9277-7820f19ed2ad.png,0,0
17101377-f0d9-49a3-9d56-0e3e0d17a0bd.png,0,0
190130ba-7d32-461c-af40-512b6c10dc7a.png,0,0
23303749-83c9-4edf-b2a2-0f8c86f54fa0.png,0,0
2541628d-6c88-42ca-8bb8-5e8df80c4f22.png,0,0
278743a3-c247-4c7b-9030-2c636ec6c575.png,0,0
2832686e-cb67-4117-846f-62433095e92e.png,0,0
29937b09-2858-4bb1-bf6e-f57dd5845cd5.png,0,0
3031585d-9d23-42a4-a611-f80bf31068a7.png,0,1
33491b55-d1a9-480d-9506-2bbc44c88961.png,0,0
36490330-249f-438e-be8d-348084660997.png,0,0
36581e0f-091c-46d4-860d-d62e8d324a20.png,0,0
376800f3-e77b-42f0-a31a-d8ee31c978d0.png,0,0
42171d0c-a996-4710-96d8-f4b8d62e2c3b.png,0,0
46598b5c-5301-429b-a9c6-2af87b7ecaca.png,0,0
47842b9d-334b-4233-b9cb-b72acd60e075.png,0,0
49548b55-aaf3-4845-8814-90fdf4e7ac21.png,0,0
5053e9c1-242c-4f09-a420-341230824144.png,0,0
51445008-ee82-4c75-baa7-5a1f02c00566.png,0,0
5440d1ea-1192-41a9-83c8-256e24a5bd08.png,0,0
5444ccec-7edb-48b0-b103-418382b129cc.png,0,0
56836536-5744-4c00-8b44-31804814adda.png,0,0
56966aaa-a583-4ac7-b9a7-8daf52e8f13b.png,0,0
587431aa-305b-4531-9c0c-5dad08fdf84f.png,0,0
5892fdf1-5b8a-45b2-a14e-76222f5a035b.png,0,0
5943a88a-f83d-46f6-9cda-d96df6b5fd06.png,0,0
618792a4-0fc1-4ff7-b4a3-b188a319ff03.png,0,0
